screen_id,screen_name,module,container,group,id,label,type,required,readonly,unit,options,source,source_status
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,(filter rail),date_date_range,Date / date range,date,False,False,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,(filter rail),department,Department,select,False,False,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,(filter rail),clinician,Clinician,select,False,False,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,(filter rail),visit_type,Visit type,select,False,False,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,(filter rail),appointment_status,Appointment status,select,False,False,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,(filter rail),payer,Payer,select,False,False,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,(filter rail),financial_clearance,Financial clearance,select,False,False,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,(filter rail),location,Location,select,False,False,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,(filter rail),waiting_time_threshold,Waiting-time threshold,number,False,False,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,(filter rail),toggles_arrived_not_seen_only_no_shows_only_walk_ins_only_has_pending_action_fre,"toggles: Arrived-not-seen only, No-shows only, Walk-ins only, Has pending action. Free-text search (name / UHID / phone / national ID / appointment…",text,False,False,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,Calculated,age_part_e_calc_001,Age (Part E CALC-001),readonly,False,True,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,Calculated,waiting_time_now_check_in_time_calc_002,Waiting time = now − check-in time (CALC-002),readonly,False,True,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,Calculated,counts_strip_aggregates,counts strip aggregates,readonly,False,True,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,Calculated,no_show_derivation_appointment_time_configured_grace_elapsed_with_no_check_in_ca,no-show derivation = appointment time + configured grace elapsed with no check-in (CALC-003) — system proposes No-show,readonly,False,True,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
SCR-REG-001,Front Desk Home / Appointment Worklist,C.1 Registration,field,Calculated,front_desk_confirms,Front Desk confirms.,readonly,False,True,,,CCA_Oncology_HIS_EMR_PRD_Part3_C-registration-to-investigations.md,Supplied PRD source
